Email date (UTC),Recipients,Subject,Sender address,Sender display name,Sender domain,Sender IP,Sender mail from address,Sender mail from domain,Delivery action,Latest delivery location,Original delivery location,Internet message ID,Network message ID,Mail language,Original recipients,Additional actions,Threats,Detection technologies,Alert ID,Final system override,Tenant system override(s),User system override(s),Directionality,Sender tags,Recipient tags
2025-03-05 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,On-prem/external,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,de,,--,,,,,,,Outbound,,
2025-03-05 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,On-prem/external,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Inbound,,
2025-03-06 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,On-prem/external,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,en,,--,,,,,,,Outbound,,
2025-03-06 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,Dropped,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,de,,--,,,,,,,Outbound,,
2025-03-07 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,Dropped,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,de,,--,,,,,,,Inbound,,
2025-03-07 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,On-prem/external,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Outbound,,
2025-03-07 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,Dropped,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Inbound,,
2025-03-07 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,On-prem/external,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Outbound,,
2025-03-08 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,On-prem/external,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,en,,--,,,,,,,Inbound,,
2025-03-08 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,On-prem/external,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,de,,--,,,,,,,Outbound,,
2025-03-08 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,Dropped,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,en,,--,,,,,,,Inbound,,
2025-03-09 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,On-prem/external,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,en,,--,,,,,,,Inbound,,
2025-03-09 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,Dropped,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Inbound,,
2025-03-09 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,Dropped,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,en,,--,,,,,,,Inbound,,
2025-03-10 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,On-prem/external,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Inbound,,
2025-03-10 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,Dropped,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Outbound,,
2025-03-10 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,On-prem/external,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Outbound,,
2025-03-10 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,Dropped,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,de,,--,,,,,,,Outbound,,
2025-03-11 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,Dropped,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,en,,--,,,,,,,Outbound,,
2025-03-11 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,On-prem/external,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,de,,--,,,,,,,Outbound,,
2025-03-11 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,Dropped,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Outbound,,
2025-03-11 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,Dropped,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,en,,--,,,,,,,Outbound,,
2025-03-12 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,Dropped,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,en,,--,,,,,,,Inbound,,
2025-03-13 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,On-prem/external,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Outbound,,
2025-03-14 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,On-prem/external,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,de,,--,,,,,,,Outbound,,
2025-03-14 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,Dropped,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Inbound,,
2025-03-14 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,Dropped,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Inbound,,
2025-03-14 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,Dropped,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Inbound,,
2025-03-15 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,On-prem/external,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Outbound,,
2025-03-15 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,On-prem/external,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Outbound,,
2025-03-15 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,On-prem/external,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,de,,--,,,,,,,Outbound,,
2025-03-16 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,Dropped,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Outbound,,
2025-03-16 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,On-prem/external,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,en,,--,,,,,,,Inbound,,
2025-03-16 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,Dropped,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,en,,--,,,,,,,Inbound,,
2025-03-16 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,On-prem/external,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,de,,--,,,,,,,Outbound,,
2025-03-16 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Blocked,On-prem/external,Dropped,<dummy.message.id@example.com>,<dummy.network.id>,de,,--,,,,,,,Outbound,,
2025-03-17 04:57:00,dummy.recipient@example.com,Dummy Subject,dummy.sender@example.com,Dummy Sender,example.com,0.0.0.0,dummy.sender@example.com,example.com,Delivered,Dropped,On-prem/external,<dummy.message.id@example.com>,<dummy.network.id>,fr,,--,,,,,,,Outbound,,
